ID;Units;Source;Latitude;Longitude;CRC;Number.of.nodes;Reference;Type
Aggregated_Baltic_Ecosystem;mg C m-2 d -1;R. Ulanowicz;58,487952;19,863281;crc_2f770610;15;Wulff, F., Ulanowicz, R. A comparative anatomy of the Baltic Sea and Chesapeake Bay. Network Analysis in Marine Ecology 32, 232-256 ;continental shelf
Alaska_Prince_William_Sound;Wet Weight;Ecobase;60,3312038;-163,8140774;crc_f94e37ad;19;Dalsgaard, J., Pauly, D., Okey, T. A. Preliminary mass-balance model of Prince William Sound, Alaska, for the pre-spill period, 1980-1989 Fisheries Centre Research Reports 5 (2) (1997) doi: http://dx.doi.org/10.14288/1.0074775;bay/fjord
Chesapeake_Bay_Carbon Mesohaline Network;mg C m-2 summer-1;R. Ulanowicz;37,2833322;-76,0166666;crc_781e9a34;36;Baird, D., Ulanowicz, R. The seasonal dynamics of the Chesapeake Bay ecosystem. Ecol. Monogr. 59, 329-364 (1989);bay
Crystal_River_Creek_Control;mg m-2 d -1;R. Ulanowicz;28,901196;-82,614265;crc_2639b9b7;21;Homer, M., Kemp, W. M. Unpublished Ms. See also Ulanowicz, R.E. Growth and Development: Ecosystems Phenomenology. (Springer, New York) 69-79. (1986).;river
Crystal_River_Creek_Delta Temp;mg m-2 d-1;R. Ulanowicz;28,972868;-82,742875;crc_db063b6a;21;Homer, M., Kemp, W. M. Unpublished Ms. See also Ulanowicz, R.E. Growth and Development: Ecosystems Phenomenology. (Springer, New York) 69-79. (1986).;river
Cypress_Wet_Season;g C m-2 y-1;;25,73336;-81,368654;crc_064239f8;68;Ulanowicz, R. E., Bondavalli, C. and, Egnotovich M. S. Network analysis of trophic dynamics in South Florida ecosystems, FY 96: the cypress wetland ecosystem. Annual Report to the United States Geological Service Biological Resources Division, University of Miami Coral Gables, [UMCES] CBL 97-075, Maryland System Center for Environmental Science, Chesapeake Biological Laboratory. (1997).;marsh
Richards_Bay_Summer C ;Carbon;U.M. Scharler;-28,92899;32,103006;crc_917a2136;33;Scharler, U. M., Ayers, M., de Lecea, A., Pretorius, M., Fennessy S., Huggett J., MacKay C., Muir, D. Riverine influence determines nearshore heterogeneity of nutrient (C, N, P) content and stoichiometry in the KwaZulu-Natal Bight, South Africa. African J. Mar. Sci. 38, S193â€“S203 (2016). 10.2989/1814232X.2016.1150347.;bay
Richards_Bay_Summer N ;Nitrogen;U.M. Scharler;-28,856624;32,119602;crc_43663aa7;33;Scharler, U. M., Ayers, M., de Lecea, A., Pretorius, M., Fennessy S., Huggett J., MacKay C., Muir, D. Riverine influence determines nearshore heterogeneity of nutrient (C, N, P) content and stoichiometry in the KwaZulu-Natal Bight, South Africa. African J. Mar. Sci. 38, S193â€“S203 (2016). 10.2989/1814232X.2016.1150347.;bay nitrogen
Richards_Bay_Summer P ;Phosphorus;U.M. Scharler;-28,893553;32,089357;crc_2f033086;33;Scharler, U. M., Ayers, M., de Lecea, A., Pretorius, M., Fennessy S., Huggett J., MacKay C., Muir, D. Riverine influence determines nearshore heterogeneity of nutrient (C, N, P) content and stoichiometry in the KwaZulu-Natal Bight, South Africa. African J. Mar. Sci. 38, S193â€“S203 (2016). 10.2989/1814232X.2016.1150347.;bay phosphorus
Richards_Bay_Winter C ;Carbon;U.M. Scharler;-28,923376;32,144428;crc_71acd3fa;33;Scharler, U. M., Ayers, M., de Lecea, A., Pretorius, M., Fennessy S., Huggett J., MacKay C., Muir, D. Riverine influence determines nearshore heterogeneity of nutrient (C, N, P) content and stoichiometry in the KwaZulu-Natal Bight, South Africa. African J. Mar. Sci. 38, S193â€“S203 (2016). 10.2989/1814232X.2016.1150347.;bay
Richards_Bay_Winter N ;Nitrogen;U.M. Scharler;-28,883513;32,139029;crc_0e48c5dd;33;Scharler, U. M., Ayers, M., de Lecea, A., Pretorius, M., Fennessy S., Huggett J., MacKay C., Muir, D. Riverine influence determines nearshore heterogeneity of nutrient (C, N, P) content and stoichiometry in the KwaZulu-Natal Bight, South Africa. African J. Mar. Sci. 38, S193â€“S203 (2016). 10.2989/1814232X.2016.1150347.;bay nitrogen
Richards_Bay_Winter P ;Phosphorus;U.M. Scharler;-28,8976;32,117896;crc_c5603418;33;Scharler, U. M., Ayers, M., de Lecea, A., Pretorius, M., Fennessy S., Huggett J., MacKay C., Muir, D. Riverine influence determines nearshore heterogeneity of nutrient (C, N, P) content and stoichiometry in the KwaZulu-Natal Bight, South Africa. African J. Mar. Sci. 38, S193â€“S203 (2016). 10.2989/1814232X.2016.1150347.;bay phosphorus
